Date,schedstr,MP1,MP2,FF1,FF2,FF3,FF4,FF5,FF6,ED1,ED2,ED3,ED4
2/1/1988,2/11/1988,,,,,,,,,0.01,-0.01,-0.02,-0.02
3/1/1988,,,,,,,,,,0.005,0.01,0,0
4/1/1988,,,,,,,,,,0.04,0.02,0.03,0.01
5/1/1988,5/18/1988,,,,,,,,,0.11,0.13,0.09,0.1
6/1/1988,,,,,,,,,,0.01,0.01,0,
7/1/1988,7/1/1988,,,,,,,,,0.04,0.03,0.05,0.04
8/1/1988,8/17/1988,,,,,,,,,0.14,0.18,0.14,0.16
9/1/1988,9/21/1988,,,,,,,,,-0.01,-0.01,-0.01,-0.01
10/1/1988,,,,,,,,,,,,,
11/1/1988,11/2/1988,0.03214,,,,,,,,0.03,0.07,0.08,0.07
12/1/1988,12/15/1988,0.01937,,,,,,,,0.03,0.06,0.03,0.05
1/1/1989,,,,,,,,,,0.02,0.02,-0.03,-0.03
2/1/1989,2/9/1989,0.02,,,,,,,,0.07,0.06,0.08,0.12
3/1/1989,3/29/1989,-0.07,,,,,,,,-0.02,-0.01,-0.03,-0.02
4/1/1989,,,,,,,,,,,,,
5/1/1989,5/17/1989,-0.02214,,,,,,,,-0.02,-0.01,-0.01,-0.03
6/1/1989,,-0.0125,,,,,,,,-0.03,-0.04,-0.05,-0.04
7/1/1989,7/7/1989,-0.03583,,,,,,,,-0.09,-0.11,-0.12,-0.09
8/1/1989,8/23/1989,0,,,,,,,,-0.01,-0.02,-0.01,-0.02
9/1/1989,,,,,,,,,,,,,
10/1/1989,10/4/1989,-0.17223,,,,,,,,0.03,0.02,0.05,0.04
11/1/1989,11/15/1989,-0.12435,,,,,,,,-0.01,-0.01,-0.02,-0.03
12/1/1989,12/20/1989,-0.16909,,,,,,,,-0.04,-0.03,-0.03,-0.02
1/1/1990,,,,,,,,,,,,,
2/1/1990,2/8/1990,-0.014,,-0.01,-0.01,-0.02,-0.02,,,0.01,0.02,0,0.01
3/1/1990,3/28/1990,0,,0,0,-0.01,-0.02,,,-0.01,-0.03,-0.03,-0.03
4/1/1990,,,,,,,,,,,,,
5/1/1990,5/16/1990,0,,0,0.01,0,0,,,-0.01,-0.02,-0.01,-0.02
6/1/1990,,,,,,,,,,,,,
7/1/1990,7/5/1990,-0.13777,,-0.07999,-0.07,-0.08,-0.1,,,-0.02,-0.03,-0.03,-0.02
8/1/1990,8/22/1990,0,,0,0.01,0,0,,,0.01,0,0,0
9/1/1990,,,,,,,,,,,,,
10/1/1990,10/3/1990,-0.01893,,-0.01,-0.04,-0.05,-0.02999,,,0,0,0,0
11/1/1990,11/14/1990,0.01875,,0.01,0.02,0.02,0.01,,,0.02,0.025,0,-0.02
12/1/1990,12/18/1990,-0.30504,,-0.16,-0.2,-0.11,-0.19,,,-0.155,-0.1,-0.075,0.015
1/1/1991,,-0.13478,,-0.1,-0.11,-0.06001,-0.1,,,-0.12,-0.12,-0.09,-0.1
2/1/1991,2/7/1991,0,,0,-0.01,-0.02,-0.21,,,-0.1,-0.095,-0.08,-0.085
