schedstr,MP1,FF1,FF2,FF3,FF4,ED1,ED2,ED3,ED4,x_year,x_date,y
1988-02-11,,,,,,0.01,-0.01,-0.02,-0.02,1988.1077224924109,1988-02-09 10:14:03.744013104,-0.3989303088229003
1988-05-18,,,,,,0.11,0.13,0.09,0.1,1988.381287009509,1988-05-19 13:13:30.329494991,0.0615739944470387
1988-07-01,,,,,,0.04,0.03,0.05,0.04,1988.508127506052,1988-07-04 23:23:31.247378946,0.6606984953152789
1988-08-17,,,,,,0.14,0.18,0.14,0.16,1988.626791028301,1988-08-17 09:43:56.613349128,0.650924617032192
1988-09-21,,,,,,-0.01,-0.01,-0.01,-0.01,1988.6986438834967,1988-09-12 16:53:16.341487402,0.4737393235715386
1988-11-02,0.03214,,,,,0.03,0.07,0.08,0.07,1988.8403133692464,1988-11-03 13:18:45.487656089,0.3349745516490964
1988-12-15,0.01937,,,,,0.03,0.06,0.03,0.05,1988.952352973985,1988-12-14 13:28:06.684541484,0.3478317915341959
1989-02-09,0.02,,,,,0.07,0.06,0.08,0.12,1989.1024801044089,1989-02-07 09:43:32.572638094,0.6884181501144563
1989-03-29,-0.07,,,,,-0.02,-0.01,-0.03,-0.02,1989.2521369906883,1989-04-03 00:43:12.138346660,0.774434578927165
1989-05-17,-0.02214,,,,,-0.02,-0.01,-0.01,-0.03,1989.369821775126,1989-05-15 23:38:19.500372153,0.6922341025933045
1989-07-07,-0.03583,,,,,-0.09,-0.11,-0.12,-0.09,1989.5133924871984,1989-07-07 09:19:05.476289260,-1.2105294017463069
1989-08-23,0.0,,,,,-0.01,-0.02,-0.01,-0.02,1989.640797150592,1989-08-22 21:22:58.941072681,-1.232774424722647
1989-10-04,-0.17223,,,,,0.03,0.02,0.05,0.04,1989.761300024935,1989-10-05 20:59:17.586351844,-1.1064362480482457
1989-11-15,-0.12435,,,,,-0.01,-0.01,-0.02,-0.03,1989.859087446866,1989-11-10 13:36:21.724364352,-0.5811936411214028
1989-12-20,-0.16909,,,,,-0.04,-0.03,-0.03,-0.02,1989.962140398812,1989-12-18 04:20:59.616932881,-0.0898759575654962
1990-02-08,-0.014,-0.01,-0.01,-0.02,-0.02,0.01,0.02,0.0,0.01,1990.095893358148,1990-02-05 00:01:32.942556347,0.0279951245520661
1990-03-28,0.0,0.0,0.0,-0.01,-0.02,-0.01,-0.03,-0.03,-0.03,1990.2319210391563,1990-03-26 15:37:41.890833223,0.7537393366509608
1990-05-16,0.0,0.0,0.01,0.0,0.0,-0.01,-0.02,-0.01,-0.02,1990.3700243193168,1990-05-16 01:24:46.933975434,-0.0152110873885681
1990-07-05,-0.13777,-0.07999,-0.07,-0.08,-0.1,-0.02,-0.03,-0.03,-0.02,1990.4981377238837,1990-07-01 19:41:11.260396406,-0.4245529897362959
1990-08-22,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,1990.638400977145,1990-08-22 00:23:33.215245065,-1.033665404284462
1990-10-03,-0.01893,-0.01,-0.04,-0.05,-0.02999,0.0,0.0,0.0,0.0,1990.7776770552,1990-10-11 20:27:03.612787251,-0.6169694685186244
1990-11-14,0.01875,0.01,0.02,0.02,0.01,0.02,0.025,0.0,-0.02,1990.8543307881089,1990-11-08 19:56:15.733801708,-0.8784335374314831
1990-12-18,-0.30504,-0.16,-0.2,-0.11,-0.19,-0.155,-0.1,-0.075,0.015,1990.9345062896605,1990-12-08 02:16:30.350732767,-0.6595148636885995
1991-02-07,0.0,0.0,-0.01,-0.02,-0.21,-0.1,-0.095,-0.08,-0.085,1991.1262309020588,1991-02-16 01:46:57.727324770,-0.9768365119909784
1991-03-27,-0.04695,-0.02,-0.09,-0.05,-0.06,-0.07,-0.11,-0.08,-0.14,1991.2360047850127,1991-03-28 03:24:06.900160826,-0.7653562456154732
1991-05-15,0.01938,0.01,0.0,0.0,-0.02,0.0,0.0,0.01,0.01,1991.36185696774,1991-05-13 01:52:01.334651655,0.1963744776756237
