schedstr,MP1,FF1,FF2,FF3,FF4,ED1,ED2,ED3,ED4,x_year,x_date,y
1988-02-11,,,,,,0.01,-0.01,-0.02,-0.02,1988.1011166767164,1988-02-07 00:12:31.997796730,-0.3254076526820729
1988-05-18,,,,,,0.11,0.13,0.09,0.1,1988.3865639815604,1988-05-21 11:34:40.850494236,-0.4378250889752247
1988-07-01,,,,,,0.04,0.03,0.05,0.04,1988.4781323582583,1988-06-23 23:54:52.685788389,-0.6635897949672941
1988-08-17,,,,,,0.14,0.18,0.14,0.16,1988.6204661736936,1988-08-15 02:10:29.531007157,-0.3381423275871021
1988-09-21,,,,,,-0.01,-0.01,-0.01,-0.01,1988.7216794062156,1988-09-21 03:13:54.855111282,-0.8265358801239857
1988-11-02,0.03214,,,,,0.03,0.07,0.08,0.07,1988.8411331594816,1988-11-03 20:30:49.222391414,-0.3619464477988477
1988-12-15,0.01937,,,,,0.03,0.06,0.03,0.05,1988.9634938453416,1988-12-18 15:19:47.774931646,-0.6537485768093939
1989-02-09,0.02,,,,,0.07,0.06,0.08,0.12,1989.0840834199528,1989-01-31 16:34:14.731630749,-0.2819769246612913
1989-03-29,-0.07,,,,,-0.02,-0.01,-0.03,-0.02,1989.2399460226736,1989-03-29 13:55:37.771035314,-0.8763050687834375
1989-05-17,-0.02214,,,,,-0.02,-0.01,-0.01,-0.03,1989.359183199836,1989-05-12 02:26:41.390028882,-1.0774368900064493
1989-07-07,-0.03583,,,,,-0.09,-0.11,-0.12,-0.09,1989.5248879832752,1989-07-11 14:01:07.440567363,-1.006005278161988
1989-08-23,0.0,,,,,-0.01,-0.02,-0.01,-0.02,1989.6628710254247,1989-08-30 22:45:00.657793105,-1.2243428676334804
1989-10-04,-0.17223,,,,,0.03,0.02,0.05,0.04,1989.755902494024,1989-10-03 21:42:21.051540397,-1.0050812201189914
1989-11-15,-0.12435,,,,,-0.01,-0.01,-0.02,-0.03,1989.8958106570965,1989-11-23 23:18:04.882194912,-1.157579674027068
1989-12-20,-0.16909,,,,,-0.04,-0.03,-0.03,-0.02,1989.9585695991832,1989-12-16 21:04:10.879841161,-0.9861669070514312
1990-02-08,-0.014,-0.01,-0.01,-0.02,-0.02,0.01,0.02,0.0,0.01,1990.117295819277,1990-02-12 19:30:40.956717355,-0.8242449862257273
1990-03-28,0.0,0.0,0.0,-0.01,-0.02,-0.01,-0.03,-0.03,-0.03,1990.2013273475616,1990-03-15 11:37:39.232701779,-0.5836241220715847
1990-05-16,0.0,0.0,0.01,0.0,0.0,-0.01,-0.02,-0.01,-0.02,1990.36667598363,1990-05-14 20:04:53.819758911,-0.0635527047482677
1990-07-05,-0.13777,-0.07999,-0.07,-0.08,-0.1,-0.02,-0.03,-0.03,-0.02,1990.505169182824,1990-07-04 09:16:55.349535141,-0.4619372285346345
1990-08-22,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,1990.6209074527092,1990-08-15 15:08:57.428636121,-1.0460574189630671
1990-10-03,-0.01893,-0.01,-0.04,-0.05,-0.02999,0.0,0.0,0.0,0.0,1990.7185110835007,1990-09-20 06:09:25.529279448,-0.6704278244854596
1990-11-14,0.01875,0.01,0.02,0.02,0.01,0.02,0.025,0.0,-0.02,1990.85163319532,1990-11-07 20:18:24.447608098,-1.0550092312545838
1990-12-18,-0.30504,-0.16,-0.2,-0.11,-0.19,-0.155,-0.1,-0.075,0.015,1990.9561672614336,1990-12-16 00:01:30.756570648,-1.42983027494457
1991-02-07,0.0,0.0,-0.01,-0.02,-0.21,-0.1,-0.095,-0.08,-0.085,1991.0946522101087,1991-02-04 13:09:12.097989034,-1.066733217675088
1991-03-27,-0.04695,-0.02,-0.09,-0.05,-0.06,-0.07,-0.11,-0.08,-0.14,1991.25778558203,1991-04-05 02:12:06.114898399,-0.9891989725050108
1991-05-15,0.01938,0.01,0.0,0.0,-0.02,0.0,0.0,0.01,0.01,1991.35254965946,1991-05-09 16:20:06.060730871,-1.3689964537807104
1991-07-04,0.0,0.0,-0.01,0.01,0.01,0.02,0.02,0.02,0.0,1991.497463136932,1991-07-01 13:46:37.486290178,-0.6919988044266306
1991-08-21,-0.062,-0.11,-0.07001,-0.03,-0.08,-0.12,-0.09,-0.08,-0.07,1991.6288237631063,1991-08-18 12:29:46.193320631,-0.7418344097579238
1991-10-02,-0.0407,-0.03,-0.02001,-0.03,-0.04,-0.01,-0.01,0.0,0.0,1991.7407502935644,1991-09-28 08:58:21.257845674,-0.8638331728843854
1991-11-06,-0.1,-0.08,-0.12,-0.09,-0.12,-0.08,-0.09,-0.09,-0.09,1991.849904649893,1991-11-07 05:09:53.039025829,-0.8173145509032602
1991-12-18,-0.33129,-0.11448,-0.35966,-0.27862,-0.25862,-0.29,-0.28,-0.23,-0.13793,1991.9675776663055,1991-12-20 03:58:49.284609859,-0.4136263189742843
1992-02-06,0.01261,0.01,0.01,-0.02,0.0,-0.01,0.0,0.01,0.0,1992.0919886059487,1992-02-03 16:01:40.492752162,-0.7669726387692437
1992-04-01,-0.20394,-0.14,-0.20999,-0.11001,-0.2,-0.21,-0.25,-0.24,-0.22,1992.2382977960897,1992-03-28 05:12:28.227066376,-1.0297131423275874
1992-05-20,0.0,0.0,0.02,0.03,0.00999,0.02,0.02,0.01,0.01,1992.3916336775992,1992-05-23 08:06:36.806513011,-0.1587141821403064
1992-07-02,-0.08552,-0.08,-0.09,-0.1,-0.3,0.0,0.02,0.04,0.04,1992.5025783963863,1992-07-02 22:38:55.081886064,-0.4835717374662637
1992-08-19,0.02583,0.01,0.01,0.01,0.01,-0.01,0.01,-0.01,-0.01,1992.648521813552,1992-08-25 08:36:56.196865235,-0.6271588066222034
1992-10-07,0.0,0.0,0.00999,0.00999,0.01,0.0,0.0,0.0,0.0,1992.7823850969264,1992-10-13 08:28:14.489045978,-0.8547292760399581
1992-11-18,-0.04999,-0.02,-0.01,0.01,0.0,0.0,-0.01,0.0,0.01,1992.8899319772845,1992-11-21 17:09:44.958481519,-0.6656920270151067
1992-12-23,0.03873,0.00999,0.0,-0.02,-0.01,-0.01,-0.01,-0.01,-0.04,1992.973790244686,1992-12-22 09:46:24.633555888,0.0956547955761405
1993-02-04,0.0,0.0,-0.02,-0.04,-0.02,0.0,-0.01,0.0,0.0,1993.10181078606,1993-02-07 03:51:44.949188600,-0.1342431450374101
1993-03-24,0.0,-0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.04,1993.215893451951,1993-03-20 19:13:35.900724619,0.212486534145518
1993-05-19,-0.02583,-0.01,-0.02,-0.02,-0.02,0.0,-0.01,-0.02,-0.03,1993.3682475217895,1993-05-15 09:50:53.847153637,0.0906494811765824
1993-07-08,0.02696,0.02,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,1993.5314015200065,1993-07-13 23:04:38.334925346,-0.2543129369991174
1993-08-18,0.0,0.0,0.02,0.01,0.01,0.01,0.0,0.0,0.0,1993.6395451878504,1993-08-22 10:24:57.044051622,-0.5056856015076951
1993-09-22,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,-0.02,1993.7334429608647,1993-09-25 16:57:37.213830743,-0.2567963429896676
