schedstr,MP1,FF1,FF2,FF3,FF4,ED1,ED2,ED3,ED4,x_year,x_date,y
1988-02-11,,,,,,0.01,-0.01,-0.02,-0.02,1988.1156951854573,1988-02-12 08:15:59.432604863,1.7942043030219137
1988-05-18,,,,,,0.11,0.13,0.09,0.1,1988.3795791102252,1988-05-18 22:13:22.455186072,2.465635610461505
1988-07-01,,,,,,0.04,0.03,0.05,0.04,1988.497274947286,1988-07-01 00:03:47.293059553,2.323799503654481
1988-08-17,,,,,,0.14,0.18,0.14,0.16,1988.64340292476,1988-08-23 11:39:04.647931868,1.2209570508707577
1988-09-21,,,,,,-0.01,-0.01,-0.01,-0.01,1988.7181920771968,1988-09-19 20:35:57.141948658,1.1866677693115957
1988-11-02,0.03214,,,,,0.03,0.07,0.08,0.07,1988.850001797067,1988-11-07 02:24:56.827574023,1.9104815385734928
1988-12-15,0.01937,,,,,0.03,0.06,0.03,0.05,1988.9590417605132,1988-12-17 00:13:22.167651768,2.0612139599285086
1989-02-09,0.02,,,,,0.07,0.06,0.08,0.12,1989.0898416284624,1989-02-02 19:00:45.595190531,1.9559970073284847
1989-03-29,-0.07,,,,,-0.02,-0.01,-0.03,-0.02,1989.2390352278412,1989-03-29 05:56:54.945200515,2.1881427288443045
1989-05-17,-0.02214,,,,,-0.02,-0.01,-0.01,-0.03,1989.371878843727,1989-05-16 17:39:31.215775233,1.534311697753711
1989-07-07,-0.03583,,,,,-0.09,-0.11,-0.12,-0.09,1989.5119356876244,1989-07-06 20:33:23.844922223,1.595744356321595
1989-08-23,0.0,,,,,-0.01,-0.02,-0.01,-0.02,1989.636964973164,1989-08-21 11:48:47.393697156,1.206037690932843
1989-10-04,-0.17223,,,,,0.03,0.02,0.05,0.04,1989.7349446536589,1989-09-26 06:06:54.597786621,0.7715368795902865
1989-11-15,-0.12435,,,,,-0.01,-0.01,-0.02,-0.03,1989.8495147585809,1989-11-07 01:44:57.426606657,0.7353505190639985
1989-12-20,-0.16909,,,,,-0.04,-0.03,-0.03,-0.02,1989.9678116979755,1989-12-20 06:01:49.707356905,0.5731971533568331
1990-02-08,-0.014,-0.01,-0.01,-0.02,-0.02,0.01,0.02,0.0,0.01,1990.101737298063,1990-02-07 03:13:07.431713869,1.481246383679613
1990-03-28,0.0,0.0,0.0,-0.01,-0.02,-0.01,-0.03,-0.03,-0.03,1990.257783464053,1990-04-05 02:10:59.322378276,2.2810010174506328
1990-05-16,0.0,0.0,0.01,0.0,0.0,-0.01,-0.02,-0.01,-0.02,1990.369348057304,1990-05-15 19:29:20.335139678,0.4282593585046977
1990-07-05,-0.13777,-0.07999,-0.07,-0.08,-0.1,-0.02,-0.03,-0.03,-0.02,1990.498865573606,1990-07-02 02:03:44.729240509,0.8459212897883988
1990-08-22,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,1990.648019099496,1990-08-25 12:38:50.321704862,0.5998860970008053
1990-10-03,-0.01893,-0.01,-0.04,-0.05,-0.02999,0.0,0.0,0.0,0.0,1990.756818622009,1990-10-04 05:43:52.063674251,0.7587454219158773
1990-11-14,0.01875,0.01,0.02,0.02,0.01,0.02,0.025,0.0,-0.02,1990.8647365277643,1990-11-12 15:05:31.139575206,0.6277131277310983
