FOMC Meeting,time,GBdate,ffl,ffr0,ffr1,ffr2,ffr3,ffr4,ffr5,ffr6,ffr7,ffr8,ffr9
1981mtg1,1981Q1,19810128,15.85,18.5,16.5,18,18.75,19,19,19,19,,
1981mtg2,1981Q1,19810325,15.85,16.88,16.5,18,19,19,19,19,19,,
1981mtg3,1981Q2,19810513,16.57,17.75,19,19,19.25,19.5,19.5,19.5,,,
1981mtg4,1981Q3,19810701,17.75,18,18.5,19,19,19,19,,,,
1981mtg5,1981Q3,19810812,17.78,18.25,18.75,19,19,19,19,,,,
1981mtg6,1981Q3,19810930,17.78,17.5,16,15.5,15,16,17,,,,
1981mtg7,1981Q4,19811110,17.58,13.5,13,14,15,16.5,,,,,
1981mtg8,1981Q4,19811216,,13.5,12.75,14,15,15.5,15.5,13.5,14,15.5,
1982mtg1,1982Q1,19820127,13.58,13.5,13,14,14.5,14,13,13.5,14,,
1982mtg2,1982Q1,19820324,13.58,14.25,13.5,13.25,13.25,13,12.5,13.25,14,,
1982mtg3,1982Q2,19820512,14.23,14,12.5,12.5,12.5,12.5,13.25,14,,,
1982mtg4,1982Q2,19820623,14.23,14.5,13.75,13.5,13.5,13.75,14,14.5,,,
1982mtg5,1982Q3,19820818,14.51,11,1.5,11.5,12,12.5,13,,,,
1982mtg6,1982Q3,19820929,14.51,11,1.25,11,11.5,12,12.5,,,,
1982mtg7,1982Q4,19821110,11.1,9.25,9.25,1,11,11.5,,,,,
1982mtg8,1982Q4,19821215,11.1,9.25,8,8,8,8,7.5,7.5,7,7,
1983mtg1,1983Q1,19830202,9.28,8.5,8,8,8.25,8.25,8,7.75,7.75,,
1983mtg2,1983Q1,19830323,9.28,8.5,8.5,8.5,8.25,8,8,7.75,7.75,,
1983mtg3,1983Q2,19830518,8.65,8.63,8.63,8.63,8.5,8.25,8.25,8.25,,,
1983mtg4,1983Q3,19830706,8.8,9.5,9.75,9.75,9.25,9,9,,,,
1983mtg5,1983Q3,19830817,8.8,9.5,9.75,9.5,9.25,9,9,,,,
1983mtg6,1983Q3,19830928,8.8,9.5,9.25,9.25,9.25,9,9,,,,
1983mtg7,1983Q4,19831109,9.46,9.5,9.75,9.5,9.25,9.25,,,,,
1983mtg8,1983Q4,19831214,,9.5,9.75,9.63,9.5,9.5,9.75,1,1,10,
1984mtg1,1984Q1,19840125,9.5,9.5,9.63,9.75,1,1.25,1.5,1.38,1.25,,
1984mtg2,1984Q1,19840321,9.43,9.63,1.25,1.5,11,11,11,11,11,,
1984mtg3,1984Q2,19840516,9.59,1.5,11,11,11,11,11,11,,,
1984mtg4,1984Q3,19840711,1.56,11.25,11.5,11.75,12,12,12,,,,
1984mtg5,1984Q3,19840815,1.56,11.38,11.5,11.75,12,12,12,,,,
1984mtg6,1984Q3,19840926,1.56,11.38,11.13,11.38,11.5,11.5,11.5,,,,
1984mtg7,1984Q4,19841031,11.39,9.88,9.75,9.75,1,1.25,,,,,
1984mtg8,1984Q4,19841212,,9.38,8.75,9.13,9.5,9.75,1,1,1,10,
1985mtg1,1985Q1,19850206,9.27,8.38,8.63,9,9.25,9,8.75,8.5,8.25,,
1985mtg2,1985Q1,19850320,9.27,8.5,8.5,8.75,8.75,8.75,8.5,8.38,8.25,,
1985mtg3,1985Q2,19850515,8.48,8.13,8.13,8.13,8.13,8,7.88,7.75,,,
1985mtg4,1985Q3,19850703,7.88,7.63,7.63,7.63,7.63,7.63,7.63,,,,
1985mtg5,1985Q3,19850814,7.92,7.75,7.75,7.75,7.75,7.75,7.75,,,,
1985mtg6,1985Q3,19850925,7.92,7.88,8,7.75,7.5,7.5,7.5,,,,
1985mtg7,1985Q4,19851030,7.9,8,7.63,7.25,7,7,,,,,
1985mtg8,1985Q4,19851211,,8,7.38,6.88,6.63,6.5,6.38,6.25,6.13,6,
1986mtg1,1986Q1,19860205,8.11,7.75,7.5,7.25,7,6.75,6.5,6.5,6.5,,
1986mtg2,1986Q1,19860326,8.11,7.83,7.38,7.25,7.13,7,7.13,7.25,7.38,,
1986mtg3,1986Q2,19860514,7.83,6.88,7,7.25,7.25,7.38,7.38,7.38,,,
1986mtg4,1986Q3,19860702,6.92,6.88,6.88,6.88,6.88,6.88,6.88,,,,
1986mtg5,1986Q3,19860813,6.92,6.25,6.25,6.25,6.5,6.75,6.75,,,,
1986mtg6,1986Q3,19860917,6.92,6.25,5.88,6,6.25,6.5,6.5,,,,
1986mtg7,1986Q4,19861029,6.21,5.75,5.75,5.75,6,6.25,,,,,
1986mtg8,1986Q4,19861210,,5.88,5.75,5.75,5.88,5.88,6,6.13,6.25,6.25,
1987mtg1,1987Q1,19870204,6.26,6,6,6.13,6.25,6.38,6.5,6.63,6.63,,
1987mtg2,1987Q1,19870325,6.26,6.25,6,6.13,6.25,6.38,6.5,6.63,6.63,,
