start,date,fomc_latest,Event,FF1,FF2,FF3,FF4,MP1,ED1,ED2,ED3,ED4,TFUT02,TFUT05,TFUT10,TFUT30,SP500,SP500FUT,EUR,FF4_MR
2/4/1988 11:30,2/4/1988,,FOMC Rate Decision (Unscheduled),,,,,,-0.02,-0.02,-0.02,-0.01,,,-0.0091,-0.00333,0.11527,0.25766,,-0.02
2/5/1988 11:30,2/5/1988,,FOMC Rate Decision (Unscheduled),,,,,,0.02,0.01,0.01,0.01,,,0.00449,0.00326,-0.16188,-0.19681,,-0.02
2/11/1988 11:30,2/11/1988,2/11/1988,FOMC Rate Decision (Scheduled),,,,,,0.01,0,-0.01,-0.02,,,0.00452,0.00331,-0.04682,-0.11685,,0
4/4/1988 11:30,4/4/1988,2/11/1988,FOMC Rate Decision (Unscheduled),,,,,,0.02,0.01,0.01,0.01,,,-0.00473,-0.00719,-0.23604,-0.25109,,-0.02
4/5/1988 11:30,4/5/1988,2/11/1988,FOMC Rate Decision (Unscheduled),,,,,,0.03,0.03,0.04,0.03,,,0.00945,0.00717,-0.06204,0,,-0.08
4/6/1988 11:30,4/6/1988,2/11/1988,FOMC Rate Decision (Unscheduled),,,,,,-0.01,-0.02,-0.02,-0.03,,,-0.01417,-0.00715,-0.16636,-0.21229,,0
5/9/1988 11:30,5/9/1988,2/11/1988,FOMC Rate Decision (Unscheduled),,,,,,0.02,0.02,0.03,0.02,,,0.01448,0.00741,-0.0428,0.0194,,-0.00999
5/10/1988 11:30,5/10/1988,2/11/1988,FOMC Rate Decision (Unscheduled),,,,,,0,0.02,0,0,,,0,-0.0037,0.09705,0.0967,,-0.02
5/18/1988 11:30,5/18/1988,5/18/1988,FOMC Rate Decision (Scheduled),,,,,,0.02,0.02,0.01,0.02,,,0.00978,0.01139,-0.15283,-0.13719,,0.01
5/19/1988 11:30,5/19/1988,5/18/1988,FOMC Rate Decision (Scheduled),,,,,,0.01,0.02,0.01,0.02,,,0,0,0.10825,0.22042,,-0.04
5/20/1988 11:30,5/20/1988,5/18/1988,FOMC Rate Decision (Scheduled),,,,,,0,-0.01,0,0.01,,,0,0,0.04753,0.11858,,-0.15
5/25/1988 11:30,5/25/1988,5/18/1988,FOMC Rate Decision (Unscheduled),,,,,,0.03,0.02,0.03,0.02,,,0.0098,0.01144,-0.00393,-0.19589,,-0.1
5/26/1988 11:30,5/26/1988,5/18/1988,FOMC Rate Decision (Unscheduled),,,,,,0.03,0.04,0.01,0.01,,,0.00983,0.01148,-0.13366,-0.27554,,-0.2
6/17/1988 11:30,6/17/1988,5/18/1988,FOMC Rate Decision (Unscheduled),,,,,,0.01,0.03,0.02,,,,0,0.0037,-0.0518,-0.1285,,-0.01
6/20/1988 11:30,6/20/1988,5/18/1988,FOMC Rate Decision (Unscheduled),,,,,,0,-0.02,-0.02,,,,-0.00487,-0.00748,0.04463,0.03689,,-0.04
7/1/1988 11:30,7/1/1988,7/1/1988,FOMC Rate Decision (Scheduled),,,,,,0.01,-0.01,0.01,0.01,,0.00379,0.01426,0.01082,-0.07335,-0.14593,,-0.02
7/19/1988 11:30,7/19/1988,7/1/1988,FOMC Rate Decision (Unscheduled),,,,,,0.03,0.03,0.02,0.01,,0.00768,0.01464,0.00761,-0.28963,-0.40696,,-0.19
7/20/1988 11:30,7/20/1988,7/1/1988,FOMC Rate Decision (Unscheduled),,,,,,0,0.01,0.02,0.02,,0.00768,0.00975,0.0038,0.1301,0,,-0.02
