Date,Unscheduled,fomc_latest,main,FF1,FF2,FF3,FF4,MP1,ED1,ED2,ED3,ED4,TFUT02,TFUT05,TFUT10,TFUT30,SP500,SP500FUT,EUR,FF4_MR,NFP_SURP,NFP_12M,SP500_3M,SLOPE_3M,BCOM_3M,TR_SKEW
2/4/1988,1,,0,,,,,,-0.02,-0.02,-0.02,-0.01,,,-0.0091,-0.00333,0.11527,0.25766,,,151,3.0879,0.0017,-0.3132,0.0171,0.2407
2/5/1988,1,,0,,,,,,0.02,0.01,0.01,0.01,,,0.00449,0.00326,-0.16188,-0.19681,,,-93,3.0086,-0.0139,-0.3313,0.0272,0.2328
2/11/1988,0,2/11/1988,1,,,,,,0.01,0,-0.01,-0.02,,,0.00452,0.00331,-0.04682,-0.11685,,,-93,3.0086,0.0247,-0.132,0.0104,0.2957
3/30/1988,0,2/11/1988,1,,,,,,0.005,0.01,0,0,,,-0.0141,-0.0125,-0.2292,,,,331,3.2128,0.0314,0.3004,0.0277,0.7189
4/4/1988,1,2/11/1988,0,,,,,,0.02,0.01,0.01,0.01,,,-0.00473,-0.00719,-0.23604,-0.25109,,,62,3.2339,0.0568,0.2026,0.0277,0.7032
4/5/1988,1,2/11/1988,1,,,,,,0.03,0.03,0.04,0.03,,,0.00945,0.00717,-0.06204,0,,,62,3.2339,0.0327,0.3036,0.0114,0.701
4/6/1988,1,2/11/1988,0,,,,,,-0.01,-0.02,-0.02,-0.03,,,-0.01417,-0.00715,-0.16636,-0.21229,,,62,3.2339,0.0452,0.1849,-0.0027,0.6946
5/9/1988,1,2/11/1988,0,,,,,,0.02,0.02,0.03,0.02,,,0.01448,0.00741,-0.0428,0.0194,,,-80,3.1356,0.0207,0.1933,0.0319,0.4126
5/10/1988,1,2/11/1988,0,,,,,,0,0.02,0,0,,,0,-0.0037,0.09705,0.0967,,,-80,3.1356,0.017,0.1383,0.0292,0.3935
5/18/1988,0,5/18/1988,0,,,,,,0.02,0.02,0.01,0.02,,,0.00978,0.01139,-0.15283,-0.13719,,,-80,3.1356,-0.0087,0.1323,0.0611,0.2955
5/19/1988,0,5/18/1988,0,,,,,,0.01,0.02,0.01,0.02,,,0,0,0.10825,0.22042,,,-80,3.1356,-0.0332,0.1863,0.0562,0.2737
5/20/1988,0,5/18/1988,0,,,,,,0,-0.01,0,0.01,,,0,0,0.04753,0.11858,,,-80,3.1356,-0.026,0.1271,0.07,0.2542
5/25/1988,1,5/18/1988,0,,,,,,0.03,0.02,0.03,0.02,,,0.0098,0.01144,-0.00393,-0.19589,,,-80,3.1356,-0.0467,0.1776,0.0756,0.2182
5/26/1988,1,5/18/1988,1,,,,,,0.03,0.04,0.01,0.01,,,0.00983,0.01148,-0.13366,-0.27554,,,-80,3.1356,-0.0434,0.1687,0.0671,0.2154
6/17/1988,1,5/18/1988,1,,,,,,0.01,0.03,0.02,,,,0,0.0037,-0.0518,-0.1285,,,-14,3.1296,0.0136,-0.2175,0.1283,0.1728
6/20/1988,1,5/18/1988,0,,,,,,0,-0.02,-0.02,,,,-0.00487,-0.00748,0.04463,0.03689,,,-14,3.1296,0.0075,-0.2726,0.1349,0.1765
7/1/1988,0,7/1/1988,0,,,,,,0.01,-0.01,0.01,0.01,,0.00379,0.01426,0.01082,-0.07335,-0.14593,,,-14,3.1296,0.0504,-0.5275,0.0961,0.1617
7/19/1988,1,7/1/1988,1,,,,,,0.03,0.03,0.02,0.01,,0.00768,0.01464,0.00761,-0.28963,-0.40696,,,121,3.3068,0.0406,-0.4522,0.0744,0.2423
7/20/1988,1,7/1/1988,0,,,,,,0,0.01,0.02,0.02,,0.00768,0.00975,0.0038,0.1301,0,,,121,3.3068,0.0329,-0.4717,0.0676,0.2453
8/9/1988,1,7/1/1988,1,,,,,,0.14,0.15,0.12,0.14,,0.05776,0.03888,0.03003,-0.67647,-0.35191,,,35,3.1793,0.0423,-0.6643,0.0322,0.37
8/17/1988,0,8/17/1988,0,,,,,,0,0.03,0.02,0.02,,0.01556,0.01487,0.03109,-0.2335,-0.32514,,,35,3.1793,0.0146,-0.6532,0.0091,0.3355
9/21/1988,0,9/21/1988,1,,,,,,-0.01,-0.01,-0.01,-0.01,,-0.01149,-0.00957,-0.01093,0.09642,0.11007,,,-10,3.1277,-0.0035,-0.5758,-0.1183,0.1405
11/2/1988,0,11/2/1988,0,,,,,0.03214,0,0.01,0.01,0.01,,0.00756,0,0.0035,0.10404,0.16073,,,-28,3.2266,0.0249,-0.6204,-0.0537,0.2925
11/7/1988,1,11/2/1988,0,,,,,,0.01,0.03,0.03,0.03,,0.00763,0.01428,0.00718,-0.16412,-0.09093,,,93,2.9972,0.016,-0.5127,-0.0499,0.3262
11/8/1988,1,11/2/1988,1,,,,,,0.02,0.03,0.04,0.03,,0.01526,0.01426,0.02149,-0.07625,-0.09051,,,93,2.9972,0.0102,-0.516,-0.044,0.3426
12/15/1988,0,12/15/1988,1,,,,,0.01937,0.03,0.06,0.03,0.05,,0.03907,0.039,0.02186,0,-0.23333,,,213,3.0909,0.029,-0.697,-0.009,0.2195
1/6/1989,1,12/15/1988,0,,,,,,0.01,0.01,-0.01,-0.01,,-0.00786,0,-0.00363,-0.03199,-0.08807,,,29,3.0749,0.0313,-0.5609,0.0896,0.2581
1/9/1989,1,12/15/1988,1,,,,,,0,-0.01,-0.02,-0.02,,-0.00785,-0.00489,0,0.00713,0.0353,,,29,3.0749,0.0365,-0.6094,0.0936,0.2586
1/10/1989,1,12/15/1988,0,,,,,,0.01,0.02,0,0,,0,0,0,0.04637,-0.08841,,,29,3.0749,0.033,-0.5977,0.0808,0.2712
2/9/1989,0,2/9/1989,0,,,,,0,-0.03,-0.03,-0.03,-0.02,,-0.01169,0,0,0.17763,0.08327,,,153,3.2319,0.0777,-0.8891,0.0346,0.2802
2/14/1989,1,2/9/1989,0,,,,,0.02,0.03,0.03,0.03,0.03,,0.01569,0.00488,0.00726,-0.01022,-0.15243,,,153,3.2319,0.0679,-0.7009,0.0139,0.2484
2/23/1989,1,2/9/1989,1,,,,,,0.07,0.07,0.06,0.08,,0.01583,0,-0.00368,0.04134,-0.03431,,,153,3.2319,0.0948,-0.4929,0.0584,0.2321
2/24/1989,1,2/9/1989,0,,,,,,0,-0.01,0.02,0.03,,0.01975,0.03454,0.0294,-0.0108,-0.12099,,,153,3.2319,0.0917,-0.5739,0.062,0.2226
3/29/1989,0,3/29/1989,1,,,,,-0.07,-0.02,-0.01,-0.03,-0.02,,-0.00397,-0.01483,-0.00736,0.0137,0.08447,,,47,3.0365,0.05,-0.5872,0.029,0.2315
5/17/1989,0,5/17/1989,1,,,,,-0.02214,-0.02,-0.01,-0.01,-0.03,,-0.01154,-0.00473,0,0.01584,0.03149,,,-103,2.8789,0.0766,-0.0258,0.0353,0.2368
6/6/1989,1,5/17/1989,1,,,,,-0.0125,-0.03,-0.04,-0.05,-0.04,,-0.01879,-0.01824,-0.01317,0.09882,0.21545,,,-99,2.7727,0.1049,0.0926,-0.0209,0.246
7/7/1989,0,7/7/1989,1,,,,,-0.02583,-0.03,-0.04,-0.05,-0.03,,-0.0294,-0.02667,-0.01567,0.27878,0.41364,,,-18,2.5321,0.0851,0.4755,-0.0456,0.1813
7/25/1989,1,7/7/1989,0,,,,,,-0.03,-0.05,-0.05,-0.03,,-0.02203,-0.00887,-0.00315,0.06848,0.05907,,,-18,2.5321,0.0859,0.2418,-0.0812,0.1431
7/26/1989,1,7/7/1989,0,,,,,-0.01,-0.02,-0.01,-0.02,-0.01,,-0.01466,-0.00443,-0.00627,0.10164,0.07418,,,-18,2.5321,0.0755,0.3182,-0.0893,0.1307
7/27/1989,1,7/7/1989,0,,,,,,-0.01,-0.01,0,-0.02,,0,0.00441,0.00624,0.26775,0.18977,,,-18,2.5321,0.0909,0.3247,-0.0866,0.1143
8/23/1989,0,8/23/1989,1,,,,,0,-0.01,-0.02,-0.01,-0.02,,-0.00751,-0.00908,-0.00321,0.09061,-0.04368,,,9,2.3585,0.0603,0.1239,-0.0191,0.0107
10/4/1989,0,10/4/1989,0,,,,,0.03444,0.01,0.01,0,0,,0.0075,0.00453,0.00319,0.07874,0.05565,,,42,2.2883,0.1093,-0.1118,0.0096,0.0778
10/16/1989,1,10/4/1989,1,,,,,-0.20667,0.01,0,0.04,0.03,,0,0.01776,0.01548,0.8095,0.96048,,,-66,2.198,0.0112,-0.0911,0.0093,0.074
10/19/1989,1,10/4/1989,0,,,,,,0.01,0.01,0.01,0.01,,0,-0.00888,-0.0031,0.01446,0.02871,,,-66,2.198,0.0309,0.0623,0.0137,0.0403
11/7/1989,1,10/4/1989,1,,,,,-0.10435,-0.07,-0.07,-0.06,-0.05,,-0.04429,-0.03097,-0.0215,0.33369,0.59782,,,78,2.0489,-0.0334,-0.1385,0.0461,-0.1455
11/8/1989,1,10/4/1989,0,,,,,,0.01,0.01,0,0,,-0.00367,-0.0044,0,0.02072,-0.05885,,,78,2.0489,-0.0427,-0.0246,0.0489,-0.1405
11/9/1989,1,10/4/1989,0,,,,,,0.04,0.04,0.03,0.02,,0.02567,0.01755,0.01828,-0.16261,-0.30871,,,78,2.0489,-0.0326,0.1801,0.0461,-0.134
11/15/1989,0,11/15/1989,0,,,,,-0.02,0.01,0.01,0.01,0,,0.01098,0.00877,0.00913,-0.04727,-0.10283,,,78,2.0489,-0.0149,0.2085,0.0344,-0.1399
12/20/1989,0,12/20/1989,1,,,,,-0.16909,-0.04,-0.03,-0.03,-0.02,,-0.0073,0,0.00302,0.3031,0.15819,,,45,1.9827,-0.0124,-0.1006,0.0346,0.0476
2/8/1990,0,2/8/1990,1,-0.01,-0.01,-0.02,-0.02,-0.014,0.01,0.02,0,0.01,,0.01134,0.01382,0.01331,-0.1519,-0.28154,,-0.02,103,1.8748,-0.0115,0.2713,0.0251,0.1225
3/28/1990,0,3/28/1990,1,0,0,-0.01,-0.02,0,-0.01,-0.03,-0.03,-0.03,,-0.01142,-0.00464,-0.01007,-0.17591,-0.10154,,-0.02,150,1.8492,-0.0096,0.0817,0.0003,0.0354
5/16/1990,0,5/16/1990,1,0,0.01,0,0,0,-0.01,-0.02,-0.01,-0.02,,-0.01145,-0.00938,-0.01028,0.05109,0.25427,,0,-306,1.7291,0.0601,0.1777,0.0188,0.0404
7/5/1990,0,7/5/1990,0,0,-0.01,0,-0.02,0,0.01,0.01,0.01,0.01,,0.01129,0.00458,0.00661,-0.00841,-0.04165,,-0.02,-69,1.7645,0.0578,0.2076,-0.027,0.1552
7/13/1990,1,7/5/1990,1,-0.07999,-0.06,-0.08,-0.08,-0.13777,-0.03,-0.04,-0.04,-0.03,,-0.01884,0.00461,0.00334,0.0407,-0.10744,,-0.08,-60,1.6798,0.0681,0.2518,-0.0018,0.1549
8/22/1990,0,8/22/1990,1,0,0.01,0,0,0,0.01,0,0,0,,-0.00761,-0.00952,-0.01441,0.19733,0.07786,,0,-219,1.6091,-0.097,0.5741,0.1019,0.0283
