monthly,mr_new,mr_rep,mr_ext
1991m1,,-.032706853,-.029385544
1991m2,-.11834141,-.085568473,-.10919911
1991m3,.084804408,.016858034,.038454667
1991m4,-.13475919,-.13244155,-.1386634
1991m5,.039009996,.061735719,.053652655
1991m6,0,0,0
1991m7,.069674492,.084858268,.084287211
1991m8,-.0087712109,.055189207,.037474379
1991m9,.021578608,.012480831,.025584016
1991m10,.016817017,.016848849,.010048007
1991m11,-.049334813,-.057591997,-.062094256
1991m12,-.067948669,-.052634377,-.091902673
1992m1,0,0,0
1992m2,.033417281,.020334302,.029609473
1992m3,0,0,0
1992m4,-.15722072,-.15644591,-.16717711
1992m5,.034842651,.023703791,.018633153
1992m6,0,0,0
1992m7,-.2478596,-.22819702,-.23833223
1992m8,.026265239,-.021658473,.0067816251
1992m9,-.025753744,-.02737481,-.025670126
1992m10,.093930371,.066686772,.066616789
1992m11,.035103947,.05341316,.053934835
1992m12,-.017726785,.0045388415,-.03031146
1993m1,0,0,0
1993m2,-.0064209239,.0012861553,.0036777144
1993m3,-.029945944,-.0014402712,-.0081541892
1993m4,0,0,0
1993m5,-.00392674,.0081351167,-.0014317273
1993m6,0,0,0
1993m7,.0040343353,.022910496,.0092374785
1993m8,.013368279,.026337417,.026368914
1993m9,.040604386,.053574622,.038544465
1993m10,0,0,0
1993m11,.011422362,-.0061216084,-.0057368544
1993m12,-.02690836,-.028977601,-.03343413
1994m1,0,0,0
1994m2,-.0085703144,-.020053383,-.017894901
1994m3,-.0064667827,-.028453995,-.0007139509
1994m4,.14197195,.13196881,.13323687
1994m5,.062184297,.055802438,.058671504
1994m6,0,0,0
1994m7,.023193756,-.0010978469,.0099525405
1994m8,-.0040310263,.00056157407,-.008886477
1994m9,-.034899909,-.034059845,-.023263542
1994m10,0,0,0
1994m11,.070945084,.06686721,.053966645
1994m12,-.068233602,-.041198738,-.049713623
1995m1,0,0,0
1995m2,.05387792,-.02276534,.021217283
1995m3,-.0041288314,.0052948329,-.0020436263
1995m4,0,0,0
1995m5,.041070811,.011967731,.010445891
1995m6,0,0,0
1995m7,-.095099896,-.092843369,-.083438598
1995m8,-.00076905312,.013793528,.020885194
1995m9,.025500629,.0049017449,.016932813
1995m10,0,0,0
1995m11,.030401379,.030502137,.043707654
1995m12,-.01195479,-.03969834,-.041404098
1996m1,.016965991,.00072409556,.0066116191
1996m2,0,0,0
1996m3,-.010489896,-.0023244286,-.022383986
1996m4,0,0,0
1996m5,.030920444,.018365281,.030113382
1996m6,0,0,0
1996m7,-.0010693026,.0015079491,-.0077047758
1996m8,.024349932,.017358648,.011245613
1996m9,-.11435571,-.11269641,-.10971183
1996m10,0,0,0
1996m11,.0071835816,-.005822069,-.011576208
1996m12,.032950677,.022541532,.030958468
1997m1,0,0,0
1997m2,.029075658,.011724053,.013139698
1997m3,.058025472,.057252888,.051436625
1997m4,0,0,0
1997m5,-.04037169,-.027141059,-.042748973
1997m6,0,0,0
1997m7,.011399141,-.004116605,-.010262842
1997m8,-.019242987,.018729886,.022710664
1997m9,-.010125487,.013346316,-.014796707
1997m10,0,0,0
1997m11,-.023651782,.014174734,-.0071776649
1997m12,-.01556847,.0023861644,.0097816363
1998m1,0,0,0
1998m2,.022806883,.016552242,.015276417
1998m3,-.011317042,-.010702603,-.013880136
1998m4,0,0,0
1998m5,.014037287,.011678999,.0039010565
1998m6,0,0,0
1998m7,.012124926,.0096181789,.011499831
1998m8,-.015696093,-.0032694128,-.0032398615
1998m9,.033232253,.043448813,.051985648
1998m10,-.12930527,-.22347291,-.13152404
1998m11,-.036558408,.0041328412,-.032204438
1998m12,-.018354593,-.039799076,-.021656012
1999m1,0,0,0
1999m2,.015467281,.018663023,.014646856
1999m3,-.024911417,-.052544475,-.048478812
1999m4,0,0,0
1999m5,.018188063,.060871005,.038893063
1999m6,-.074477784,-.066059761,-.065975927
1999m7,0,0,0
1999m8,-.016323829,-.010148405,-.02212392
